experiment,aspect,count,mean,std,min,median,max
mexgen_gc,faithfulness,120,3.267,1.469,1.0,4.0,5.0
mexgen_gc,helpfulness,120,3.417,1.294,1.0,4.0,5.0
mexgen_gc,plausibility,120,3.225,1.306,1.0,3.0,5.0
mexgen_stroke,faithfulness,200,3.355,1.573,1.0,4.0,5.0
mexgen_stroke,helpfulness,200,3.755,1.258,1.0,4.0,5.0
mexgen_stroke,plausibility,200,3.615,1.267,1.0,4.0,5.0
tokenshap_gc,faithfulness,240,3.954,1.204,1.0,4.0,5.0
tokenshap_gc,helpfulness,240,4.312,0.775,2.0,4.0,5.0
tokenshap_gc,plausibility,240,4.267,0.687,2.0,4.0,5.0
tokenshap_stroke,faithfulness,400,4.098,1.082,1.0,4.0,5.0
tokenshap_stroke,helpfulness,400,4.172,0.874,2.0,4.0,5.0
tokenshap_stroke,plausibility,400,4.138,0.863,2.0,4.0,5.0
