experiment,aspect,instance,mean_score,experiment_mean,experiment_sd,tukey_low_threshold,z2_low_threshold,rule_triggered
mexgen_gc,faithfulness,95,1.667,3.408,0.861,1.651,1.687,z2
mexgen_stroke,helpfulness,30,1.3,3.82,1.025,2.6,1.77,tukey+z2
tokenshap_gc,faithfulness,999,3.083,4.221,0.431,3.25,3.359,tukey+z2
tokenshap_gc,helpfulness,95,4.167,4.55,0.359,4.25,3.832,tukey
tokenshap_gc,helpfulness,915,3.333,4.55,0.359,4.25,3.832,tukey+z2
tokenshap_gc,plausibility,107,3.333,4.183,0.429,3.438,3.326,tukey
tokenshap_gc,plausibility,915,3.0,4.183,0.429,3.438,3.326,tukey+z2
tokenshap_stroke,faithfulness,500,2.0,4.188,0.839,3.881,2.51,tukey+z2
tokenshap_stroke,faithfulness,825,2.4,4.188,0.839,3.881,2.51,tukey+z2
tokenshap_stroke,faithfulness,1295,2.5,4.188,0.839,3.881,2.51,tukey+z2
tokenshap_stroke,helpfulness,255,3.3,4.225,0.455,3.562,3.315,tukey+z2
tokenshap_stroke,helpfulness,302,3.2,4.225,0.455,3.562,3.315,tukey+z2
tokenshap_stroke,helpfulness,500,3.4,4.225,0.455,3.562,3.315,tukey
tokenshap_stroke,plausibility,255,2.9,4.07,0.519,2.962,3.032,tukey+z2
