experiment,instance,n_tokens,configured_ratio,effective_ratio,cap_active
tokenshap_gc,0,29,0.4,1.8086285409682547e-06,True
tokenshap_gc,1,30,0.4,9.033829234585824e-07,True
tokenshap_gc,107,30,0.4,9.033829234585824e-07,True
tokenshap_gc,134,29,0.4,1.8086285409682547e-06,True
tokenshap_gc,17,30,0.4,9.033829234585824e-07,True
tokenshap_gc,186,33,0.4,1.1257361665222595e-07,True
tokenshap_gc,226,30,0.4,9.033829234585824e-07,True
tokenshap_gc,236,31,0.4,4.5122579412498764e-07,True
tokenshap_gc,29,32,0.4,2.2538006478863354e-07,True
tokenshap_gc,300,31,0.4,4.5122579412498764e-07,True
tokenshap_gc,4,32,0.4,2.2538006478863354e-07,True
tokenshap_gc,430,31,0.4,4.5122579412498764e-07,True
tokenshap_gc,55,34,0.4,5.622860055696225e-08,True
tokenshap_gc,615,30,0.4,9.033829234585824e-07,True
tokenshap_gc,671,29,0.4,1.8086285409682547e-06,True
tokenshap_gc,887,30,0.4,9.033829234585824e-07,True
tokenshap_gc,9,29,0.4,1.8086285409682547e-06,True
tokenshap_gc,915,30,0.4,9.033829234585824e-07,True
tokenshap_gc,95,30,0.4,9.033829234585824e-07,True
tokenshap_gc,999,28,0.4,3.6209825612921055e-06,True
tokenshap_stroke,0,23,0.4,0.00011646780910818798,True
tokenshap_stroke,1295,23,0.4,0.00011646780910818798,True
tokenshap_stroke,1322,23,0.4,0.00011646780910818798,True
tokenshap_stroke,1362,23,0.4,0.00011646780910818798,True
tokenshap_stroke,141,22,0.4,0.00023317464900420357,True
tokenshap_stroke,17,22,0.4,0.00023317464900420357,True
tokenshap_stroke,196,23,0.4,0.00011646780910818798,True
tokenshap_stroke,255,23,0.4,0.00011646780910818798,True
tokenshap_stroke,30,22,0.4,0.00023317464900420357,True
tokenshap_stroke,302,23,0.4,0.00011646780910818798,True
tokenshap_stroke,386,23,0.4,0.00011646780910818798,True
tokenshap_stroke,4,23,0.4,0.00011646780910818798,True
tokenshap_stroke,49,22,0.4,0.00023317464900420357,True
tokenshap_stroke,500,23,0.4,0.00011646780910818798,True
tokenshap_stroke,52,23,0.4,0.00011646780910818798,True
tokenshap_stroke,600,23,0.4,0.00011646780910818798,True
tokenshap_stroke,74,23,0.4,0.00011646780910818798,True
tokenshap_stroke,825,22,0.4,0.00023317464900420357,True
tokenshap_stroke,86,22,0.4,0.00023317464900420357,True
tokenshap_stroke,924,23,0.4,0.00011646780910818798,True
